Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1769900691703,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45205.0,0.0,0.0,13593.0,34709.0,80.0,0.0,3.09873E-319,58389.0,45973.0,44949.0,6.3E-322,3.1114E-319,58389.0,48021.0,46485.0,0.0,0.0
1769900691736,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45205.0,0.0,0.0,13593.0,34709.0,80.0,0.0,3.09873E-319,58389.0,40853.0,46485.0,6.3E-322,3.1114E-319,58389.0,48021.0,46485.0,0.0,0.0
1769900691770,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45205.0,0.0,0.0,13593.0,34709.0,80.0,0.0,3.09873E-319,58389.0,40853.0,46485.0,6.3E-322,3.1114E-319,58389.0,46485.0,46485.0,0.0,0.0
1769900691804,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45205.0,0.0,0.0,13593.0,34709.0,55120.0,0.0,3.12403E-319,58389.0,47765.0,47253.0,6.3E-322,3.1114E-319,58389.0,46485.0,46485.0,0.0,0.0
1769900691837,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,45205.0,0.0,0.0,13593.0,34709.0,55120.0,0.0,3.12403E-319,58389.0,47765.0,47253.0,6.3E-322,3.1114E-319,58389.0,46485.0,46485.0,0.0,0.0
1769900691871,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,34709.0,55120.0,0.0,3.12403E-319,58389.0,47765.0,47253.0,6.3E-322,3.1114E-319,58389.0,46485.0,46485.0,0.0,0.0
1769900691905,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,34709.0,55120.0,0.0,3.12403E-319,58389.0,44437.0,45973.0,6.3E-322,3.12403E-319,58389.0,45717.0,44437.0,0.0,0.0
1769900691939,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,35221.0,23888.0,0.0,3.12403E-319,58389.0,44437.0,45973.0,6.3E-322,3.12403E-319,58389.0,45717.0,44437.0,0.0,0.0
1769900691972,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,42645.0,0.0,0.0,13593.0,35221.0,23888.0,0.0,3.12403E-319,58389.0,44437.0,45973.0,6.3E-322,3.12403E-319,58389.0,45717.0,44437.0,0.0,0.0
1769900692006,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43925.0,0.0,0.0,13593.0,35221.0,23888.0,0.0,3.13667E-319,58389.0,46229.0,44437.0,6.3E-322,3.12403E-319,58389.0,46229.0,45973.0,0.0,0.0
1769900692039,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43925.0,0.0,0.0,13593.0,35221.0,23888.0,0.0,3.13667E-319,58389.0,46229.0,44437.0,6.3E-322,3.12403E-319,58389.0,46229.0,45973.0,0.0,0.0
1769900692073,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43925.0,0.0,0.0,13593.0,35221.0,23888.0,0.0,3.13667E-319,58389.0,44949.0,45973.0,6.3E-322,3.12403E-319,58389.0,46229.0,45973.0,0.0,0.0
1769900692107,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43925.0,0.0,0.0,13593.0,33173.0,50256.0,0.0,3.1493E-319,58389.0,44949.0,44693.0,6.3E-322,3.12403E-319,58389.0,45973.0,44437.0,0.0,0.0
1769900692140,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43925.0,0.0,0.0,13593.0,33173.0,50256.0,0.0,3.1493E-319,58389.0,44949.0,44693.0,6.3E-322,3.12403E-319,58389.0,45973.0,44437.0,0.0,0.0
1769900692176,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,33173.0,50256.0,0.0,3.1493E-319,58389.0,44949.0,44693.0,6.3E-322,3.12403E-319,58389.0,45973.0,44437.0,0.0,0.0
1769900692211,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,33173.0,50256.0,0.0,3.13667E-319,58389.0,43413.0,44949.0,6.3E-322,3.13667E-319,58389.0,46485.0,44693.0,0.0,0.0
1769900692245,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,34453.0,49744.0,0.0,3.13667E-319,58389.0,43413.0,44949.0,6.3E-322,3.13667E-319,58389.0,46485.0,44693.0,0.0,0.0
1769900692278,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43413.0,0.0,0.0,13593.0,34453.0,49744.0,0.0,3.13667E-319,58389.0,43413.0,44949.0,6.3E-322,3.13667E-319,58389.0,46485.0,44693.0,0.0,0.0
1769900692312,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43157.0,0.0,0.0,13593.0,34453.0,49744.0,0.0,3.12403E-319,58389.0,45461.0,44437.0,6.3E-322,3.12403E-319,58389.0,46741.0,46229.0,0.0,0.0
1769900692346,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43157.0,0.0,0.0,13593.0,34453.0,49744.0,0.0,3.12403E-319,58389.0,43925.0,47765.0,6.3E-322,3.12403E-319,58389.0,46741.0,46229.0,0.0,0.0
1769900692379,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43157.0,0.0,0.0,13593.0,34453.0,49744.0,0.0,3.12403E-319,58389.0,43925.0,47765.0,6.3E-322,3.12403E-319,58389.0,46741.0,46229.0,0.0,0.0
1769900692413,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43157.0,0.0,0.0,13593.0,33941.0,29008.0,0.0,3.12403E-319,58389.0,46485.0,46229.0,6.3E-322,3.13667E-319,58389.0,45461.0,46485.0,0.0,0.0
1769900692447,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,43157.0,0.0,0.0,13593.0,33941.0,29008.0,0.0,3.12403E-319,58389.0,46485.0,46229.0,6.3E-322,3.13667E-319,58389.0,45461.0,46485.0,0.0,0.0
1769900692481,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33941.0,29008.0,0.0,3.12403E-319,58389.0,46485.0,46229.0,6.3E-322,3.13667E-319,58389.0,45461.0,46485.0,0.0,0.0
1769900692514,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33941.0,29008.0,0.0,3.12403E-319,58389.0,46485.0,46741.0,6.3E-322,3.12403E-319,58389.0,47253.0,45461.0,0.0,0.0
1769900692550,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,33941.0,54608.0,0.0,3.12403E-319,58389.0,46485.0,46741.0,6.3E-322,3.12403E-319,58389.0,47253.0,45461.0,0.0,0.0
